alert_key,5.30339,-10.607,-16.5128,-16.5126,-33.0253,21.8161,-26.7469
alert_key,0.358783,0.971411,1.44957,1.6388,3.18378,2.1367,-4.40005
alert_key,-0.0772981,-1.14,-2.55423,-1.71784,2.01411,-2.23044,-3.85382
alert_key,0.501947,-1.13218,-2.66609,-2.58889,-5.21626,3.1533,-3.59114
alert_key,-0.10601,-0.206182,0.279043,0.51882,0.921977,0.419934,1.77527
alert_key,0.572396,2.11785,2.3296,3.13152,5.88595,5.0053,6.35338
alert_key,0.0247233,-0.0847803,-0.264691,0.706234,-0.929648,-0.78244,-1.8857
alert_key,0.947351,-1.92222,-3.65777,-3.65068,-7.30491,4.61158,-3.72717
medicine,2.09656,-4.24391,-6.96176,-6.93493,-13.8833,9.05688,-11.4278
medicine,0.336638,0.688011,0.690695,1.76275,-2.99222,3.48982,-3.94022
medicine,4.85025,-9.70155,-15.1543,-15.1536,-30.3075,20.0044,-24.5906
medicine,0.56721,-1.36852,-2.70506,-2.65622,-5.33686,3.3389,2.95241
medicine,1.61103,-3.31405,-5.55938,-5.51851,-11.0575,7.17553,8.62327
medicine,0.737716,-1.96999,-3.45687,-3.26886,-6.62182,4.25288,-5.95629
medicine,-0.938377,-0.818906,-1.64285,-1.05512,-2.40062,1.46056,1.50446
medicine,0.315917,0.506939,0.55801,1.73539,4.06846,-2.35473,-2.88302
medicine,0.345397,1.08485,1.09871,2.64791,-4.76207,3.59964,-4.60814
medicine,2.44031,-4.90603,-7.95674,-7.94604,-15.8974,10.399,12.525
speaker,2.90429,-5.84551,-9.35944,-9.34057,-18.6906,12.2633,15.2387
speaker,0.277913,0.72768,2.18638,2.48253,4.84543,2.84688,5.27245
speaker,2.80029,-5.62877,-9.04339,-9.0275,-18.0629,11.8419,-15.7518
speaker,1.98857,-4.1067,-6.7268,-6.66475,-13.3605,8.718,10.6016
speaker,0.224537,0.597356,1.49959,1.80257,3.46809,2.10432,4.04952
speaker,0.28117,0.733499,2.81511,3.10866,6.18942,3.4757,6.25812
speaker,0.460321,1.0238,1.98385,2.04081,4.05991,2.56023,-4.80929
speaker,1.09575,2.06041,0.523385,0.498233,1.00916,2.84914,2.64789
speaker,0.317518,0.850907,3.22452,3.33387,-7.08701,3.77545,6.63904
key,2.48277,-4.93178,-8.0108,-8.05069,-16.0814,10.5166,-13.5927
key,1.40794,-2.85304,-4.97384,-4.95022,-9.91223,6.37655,7.90986
key,1.06653,1.42591,0.638709,0.0722775,0.441239,-1.24371,1.03819
key,3.024,-6.06468,-9.69994,-9.68794,-19.3819,12.7203,16.1878
key,0.656687,0.781672,1.27792,1.71801,4.0444,-2.19706,3.22081
key,0.603141,2.59749,2.4532,3.80265,8.06828,6.42806,-6.93173
key,0.530945,-1.1469,-2.49259,-2.47912,-4.96497,3.05223,1.54727
key,0.0424776,-0.457671,-1.20387,-0.246546,0.92809,0.968391,0.601985
key,0.360283,1.05787,1.87576,3.04649,5.61776,-3.63153,5.70776
key,0.4281,1.08585,1.86451,1.92905,-3.87593,-2.53805,4.16887
tws,0.268583,0.196102,0.644238,1.1834,2.09821,-1.28646,-3.26774
tws,2.97162,-5.9303,-9.49448,-9.51583,-19.021,12.481,16.3163
tws,5.45209,-10.9035,-16.9574,-16.9581,-33.9159,22.4099,28.5779
tws,0.226331,0.45663,0.56419,1.61174,3.47975,1.8735,-2.70577
tws,0.795383,-1.7242,-3.24064,-3.1903,-6.40568,4.05227,-4.72322
tws,0.573674,-1.57982,-2.93464,-2.76933,-5.62122,3.55894,3.93804
tws,2.90007,-5.80557,-9.30786,-9.31019,-18.6192,12.213,15.6307
tws,2.65123,-5.31783,-8.5748,-8.5716,-17.1448,11.2305,14.5629
